"price","tmsp"
"2.02993192",1430515800
"2.07718291",1430523000
"2.06396943",1430526600
"2",1430530200
"2.05527856",1430535600
"1.94426267",1430541000
"1.94426267",1430544600
"1.94426267",1430550000
"2.04772948",1430557200
"2.04772948",1430563500
"2.05001463",1430567100
"2.04811961",1430571600
"1.95579557",1430579700
"2.02943346",1430583300
"1.95579557",1430586900
"2.02943346",1430590500
"1.95579557",1430594100
"1.95426145",1430597700
"1.95417622",1430602200
"2.02934823",1430605800
"2.02934823",1430611200
"2.02534089",1430614800
"1.95396531",1430618400
"1.95396531",1430622000
"2.02534089",1430625600
"2.02137348",1430631900
"2.01244136",1430636400
"2.01088293",1430644500
"2.00220686",1430649900
"2.00737201",1430654400
"1.87298696",1430658000
"1.88018444",1430663400
"1.88564748",1430679600
"1.93917401",1430689500
"1.93917401",1430702100
"1.939174",1430714700
"2.06396942",1430736300
"1.95262002",1430758800
"1.9761774",1430762400
"2.06010683",1430766000
"1.99604913",1430769600
"2.06010503",1430775000
"1.99581309",1430779500
"2.06038364",1430784000
"2.0586966",1430788500
"2.06009235",1430803800
"2.0563214",1430810100
"2.05656855",1430820900
"1.99279916",1430830800
"1.99279916",1430834400
"1.9961592",1430838000
"2.00062805",1430850600
"2.05663996",1430854200
"1.9959912",1430857800
"1.9958316",1430861400
"1.99871242",1430866800
"2.0505671",1430879400
"1.99887202",1430883000
"1.99887202",1430889300
"2.06009235",1430893800
"2.00396785",1430897400
"2.00402842",1430901000
"2.102",1430904600
"2.13707535",1430931600
"2.1008084",1430946900
"2.19140997",1430952300
"2.18008306",1430960400
"2.0560829",1430966700
"2.13762591",1430973000
"2.11641192",1430982000
"2.11545924",1430986500
"2.08313019",1430990100
"1.99167954",1431031500
"1.99167954",1431036000
"1.99167954",1431046800
"1.99167954",1431050400
"1.99167953",1431054900
"1.98635456",1431059400
"1.98051425",1431064800
"1.98051425",1431071100
"1.98051425",1431074700
"1.97607152",1431079200
"1.97607152",1431082800
"1.97607152",1431087300
"1.97607152",1431090900
"1.97607152",1431095400
"1.97607152",1431104400
"1.97607152",1431108000
"1.97607152",1431111600
"1.80821008",1431120600
"1.90206735",1431126000
"1.90206735",1431129600
"1.90206735",1431133200
"1.80760262",1431136800
"1.89709552",1431140400
"1.89199806",1431144000
"1.88749445",1431148500
"1.88749445",1431152100
"1.89199806",1431155700
"1.8069798",1431159300
"1.8069798",1431162900
"1.80697982",1431166500
"1.89254832",1431170100
"1.89254832",1431174600
"1.89254832",1431178200
"1.88856938",1431182700
"1.88856938",1431186300
"1.88477546",1431189900
"1.88477546",1431193500
"1.88477546",1431197100
"1.88477546",1431200700
"1.88477546",1431204300
"1.81125824",1431207900
"1.81125824",1431211500
"1.88826989",1431215100
"1.81125824",1431218700
"1.81125824",1431222300
"1.81104431",1431225900
"1.82004109",1431229500
"1.88809933",1431233100
"1.88826091",1431236700
"1.88826091",1431240300
"1.88826091",1431243900
"1.88826179",1431247500
"1.98790632",1431251100
"1.98292407",1431254700
"1.89785618",1431258300
"1.90292327",1431261900
"1.95522787",1431265500
"1.94845454",1431269100
"1.89493201",1431272700
"1.94812821",1431276300
"1.94812821",1431279900
"1.94809706",1431283500
"1.94808524",1431287100
"1.9361476",1431290700
"1.93597337",1431295200
"1.93597337",1431299700
"1.93597337",1431303300
"1.93597337",1431307800
"1.93597337",1431312300
"1.92218525",1431315900
"1.92218523",1431319500
"1.90561128",1431323100
"1.84707039",1431344700
"1.73727366",1431351900
"1.88941274",1431363600
"1.91304961",1431371700
"1.93778681",1431376200
"1.91435157",1431382500
"1.93778681",1431388800
"1.93778681",1431396900
"1.98415748",1431405000
"1.98060209",1431431100
"1.98060209",1431439200
"1.77071578",1431593100
"1.80842172",1431600300
"1.81148327",1431603900
"1.8193652",1431610200
"1.81936521",1431613800
"1.83689228",1431617400
"1.8616916",1431621000
"1.86130792",1431627300
"1.87672552",1431634500
"1.88797581",1431642600
"1.9392492",1431666900
"1.96027274",1431670500
"1.96165411",1431675000
"1.96401623",1431678600
"1.96401623",1431682200
"1.96725247",1431685800
"1.97324041",1431689400
"1.97455977",1431693000
"1.97832966",1431696600
"1.98066259",1431700200
"1.98724863",1431703800
"1.98215538",1431707400
"1.98263159",1431711000
"1.98308399",1431722700
"2.00068799",1431727200
"1.98217332",1431731700
"1.98215597",1431736200
"1.98263159",1431746100
"2.14381469",1431756000
"2.15299962",1431766800
"2.15207336",1431776700
"2.0311493",1431782100
"2.0311493",1431785700
"2.0311493",1431789300
"2.09824668",1431792900
"2.03111002",1431796500
"2.05511473",1431800100
"2.06083694",1431803700
"2.08104057",1431807300
"2.08367296",1431810900
"2.08367296",1431814500
"2.08367296",1431818100
"2.08367296",1431821700
"2.08767684",1431825300
"2.08767684",1431829800
"2.08767684",1431833400
"2.15917837",1431837000
"2.08367296",1431840600
"2.0339619",1431844200
"2.0587015",1431847800
"2.0480273",1431851400
"2.0780087",1431855000
"2.04830957",1431858600
"2.07665666",1431862200
"2.07665666",1431865800
"2.07650131",1431870300
"2.07142307",1431873900
"2.07378105",1431882900
"2.07220891",1431886500
"2.07220891",1431890100
"2.07220887",1431896400
"2.07220885",1431900900
"2.07220879",1431904500
"2.07084446",1431909900
"2.07084439",1431914400
"2.0708443",1431918000
"2.07048114",1431921600
"1.98437919",1431926100
"1.99164812",1431929700
"1.99164812",1431934200
"1.93239984",1431937800
"1.99072462",1431941400
"1.99379795",1431945000
"1.99204851",1431948600
"1.98444106",1431952200
"1.98799181",1431955800
"1.98695698",1431960300
"1.98798641",1431963900
"1.9799754",1431967500
"1.9799754",1431971100
"1.9799754",1431974700
"1.9799754",1431978300
"1.97861071",1431981900
"1.98850728",1431985500
"1.92515424",1432001700
"1.95095306",1432005300
"1.94360326",1432011600
"1.88381219",1432015200
"1.89370895",1432018800
"1.89312113",1432025100
"1.90194837",1432028700
"1.96867029",1432062900
"1.97638831",1432075500
"1.97638831",1432079100
"1.98241311",1432093500
"1.97865344",1432106100
"1.94184828",1432118700
"1.92065885",1432150200
"1.89235958",1432155600
"2.00333261",1432159200
"2.00191223",1432162800
"2.00321835",1432166400
"1.99963634",1432170000
"1.93391412",1432173600
"2.00018117",1432177200
"2.0019123",1432180800
"2.00112814",1432184400
"2.00018117",1432188000
"2.00018117",1432192500
"2.00018117",1432197000
"2.00018117",1432200600
"2.00015556",1432205100
"2.00135623",1432208700
"1.92334837",1432212300
"2.00135623",1432216800
"1.91478117",1432221300
"1.91478117",1432224900
"1.99288078",1432230300
"1.91478117",1432233900
"1.93109965",1432237500
"1.93109965",1432241100
"1.99434343",1432244700
"1.99434343",1432249200
"1.99031837",1432252800
"1.98717352",1432256400
"1.98045401",1432260000
"1.98261869",1432264500
"1.94884055",1432268100
"1.93347168",1432271700
"1.93709716",1432275300
"1.96662264",1432280700
"1.96662264",1432284300
"1.95496727",1432289700
"1.95496727",1432295100
"1.95496727",1432299600
"1.94971891",1432305900
"1.60597227",1432313100
"1.65569352",1432338300
"1.555",1432376100
"1.64336813",1432417500
"1.62631767",1432542600
"1.62817307",1432550700
"1.6278002",1432569600
"1.57227723",1432583100
"1.62344479",1432588500
"1.62111375",1432593900
"1.62094071",1432602900
"1.62111375",1432607400
"1.51623341",1432619100
"1.51623341",1432629000
"1.59134741",1432632600
"1.51601314",1432637100
"1.51528701",1432641600
"1.57815091",1432647000
"1.51859565",1432656000
"1.57872502",1432667700
"1.57872502",1432671300
"1.52176069",1432678500
"1.45119326",1432795500
"1.39314023",1432856700
"1.54488959",1432999800
"1.68227126",1433165400
