"price","tmsp"
"1.7174",1432418400
"1.7174",1432420200
"1.7443",1432421100
"1.7",1432422900
"1.7",1432423800
"1.7443",1432431000
"1.7443",1432433700
"1.7174",1432434600
"1.7443",1432438200
"1.7559",1432440000
"1.722",1432445400
"1.7464",1432448100
"1.7741",1432452600
"1.7774",1432455300
"1.7875",1432460700
"1.8008",1432461600
"1.7913",1432467900
"1.7913",1432468800
"1.69310164",1432469700
"1.70350163",1432470600
"1.70350164",1432471500
"1.70350165",1432472400
"1.80239993",1432476900
"1.72180177",1432477800
"1.72180181",1432478700
"1.72180182",1432479600
"1.72960188",1432480500
"1.72960192",1432481400
"1.72960195",1432483200
"1.72960196",1432484100
"1.72960199",1432485000
"1.72960199",1432485900
"1.7986",1432487700
"1.7986",1432488600
"1.7986",1432489500
"1.7986",1432490400
"1.7986",1432491300
"1.7986",1432492200
"1.72960213",1432493100
"1.72960215",1432494000
"1.7986",1432494900
"1.7986",1432495800
"1.72960215",1432496700
"1.7986",1432497600
"1.7986",1432498500
"1.72960217",1432499400
"1.73320217",1432500300
"1.7988",1432501200
"1.7988",1432502100
"1.7408022",1432503000
"1.805",1432503900
"1.805",1432504800
"1.7442022",1432505700
"1.805",1432506600
"1.8056",1432508400
"1.8057",1432509300
"1.8057",1432510200
"1.8057",1432511100
"1.75570001",1432512000
"1.8059",1432512900
"1.7583",1432513800
"1.75990004",1432514700
"1.76770007",1432515600
"1.7677001",1432516500
"1.76760011",1432517400
"1.76760013",1432518300
"1.77440014",1432519200
"1.77440013",1432520100
"1.78060014",1432521000
"1.78060014",1432521900
"1.78060013",1432522800
"1.78060015",1432523700
"1.78350014",1432524600
"1.78350014",1432525500
"1.78350014",1432527300
"1.78350014",1432528200
"1.78350014",1432529100
"1.78350014",1432530000
"1.78350014",1432530900
"1.78350014",1432531800
"1.8351",1432532700
"1.78350014",1432533600
"1.8351",1432534500
"1.8351",1432535400
"1.8351",1432536300
"1.8351",1432537200
"1.78350014",1432538100
"1.78350014",1432539000
"1.8353",1432539900
"1.78620019",1432540800
"1.83539999",1432541700
"1.83289998",1432542600
"1.82769999",1432543500
"1.82769998",1432544400
"1.82769995",1432545300
"1.82359993",1432546200
"1.78820021",1432547100
"1.78820021",1432548000
"1.78820023",1432548900
"1.82169985",1432549800
"1.78800026",1432550700
"1.81989984",1432551600
"1.78800032",1432552500
"1.78800034",1432553400
"1.81989984",1432554300
"1.81989984",1432556100
"1.81989984",1432557000
"1.8198",1432557900
"1.81979998",1432558800
"1.78970046",1432559700
"1.78970046",1432560600
"1.8199",1432561500
"1.8199",1432562400
"1.78970046",1432563300
"1.78970048",1432564200
"1.78970048",1432565100
"1.78970049",1432566000
"1.78970052",1432566900
"1.79280052",1432567800
"1.79280056",1432568700
"1.79560063",1432570500
"1.79560064",1432571400
"1.79560066",1432572300
"1.79560067",1432573200
"1.79560069",1432574100
"1.79560071",1432575000
"1.79560073",1432575900
"1.79560075",1432576800
"1.79560076",1432577700
"1.79130051",1432578600
"1.81999996",1432579500
"1.79130051",1432580400
"1.79130051",1432581300
"1.81999992",1432582200
"1.81849989",1432583100
"1.81559997",1432584000
"1.81149994",1432584900
"1.80959991",1432585800
"1.80779987",1432586700
"1.80449986",1432587600
"1.80449984",1432588500
"1.77600013",1432589400
"1.80449982",1432590300
"1.80449982",1432591200
"1.80449982",1432592100
"1.80449982",1432593000
"1.77540013",1432598400
"1.79340013",1432599300
"1.79340013",1432600200
"1.79340013",1432601100
"1.79340013",1432602000
"1.793",1432602900
"1.793",1432603800
"1.793",1432604700
"1.79299998",1432605600
"1.79299997",1432606500
"1.79199995",1432607400
"1.79199993",1432608300
"1.79199991",1432609200
"1.79199989",1432610100
"1.79009988",1432611000
"1.79009988",1432611900
"1.79009988",1432613700
"1.79009988",1432615500
"1.75440014",1432616400
"1.79009985",1432617300
"1.79009984",1432618200
"1.78829984",1432619100
"1.78829984",1432620000
"1.78829984",1432620900
"1.79240013",1432621800
"1.79240013",1432622700
"1.79240013",1432623600
"1.79240013",1432624500
"1.79240013",1432625400
"1.79240013",1432626300
"1.79240013",1432627200
"1.80349988",1432628100
"1.80349988",1432629000
"1.80349988",1432629900
"1.80349988",1432630800
"1.80349988",1432631700
"1.80349988",1432632600
"1.80349988",1432633500
"1.80349988",1432634400
"1.80349988",1432635300
"1.80349988",1432636200
"1.80349988",1432637100
"1.80349988",1432638000
"1.80349988",1432638900
"1.80349988",1432639800
"1.80349988",1432640700
"1.75950066",1432641600
"1.80359988",1432642500
"1.80359988",1432643400
"1.80479988",1432644300
"1.8047",1432645200
"1.8047",1432646100
"1.80479988",1432647000
"1.80479988",1432647900
"1.80479988",1432648800
"1.80479988",1432649700
"1.80479988",1432650600
"1.80479988",1432651500
"1.80479988",1432652400
"1.80479988",1432653300
"1.80479988",1432654200
"1.80479988",1432655100
"1.80609988",1432656000
"1.82829999",1432656900
"1.82829999",1432657800
"1.82579999",1432658700
"1.82579999",1432659600
"1.8256",1432660500
"1.8256",1432661400
"1.82559999",1432667700
"1.82559999",1432668600
"1.8256",1432670400
"1.8256",1432671300
"1.8233",1432672200
"1.8233",1432673100
"1.81799999",1432675800
"1.818",1432677600
"1.81799999",1432678500
"1.8171",1432679400
"1.78190037",1432683900
"1.78380036",1432685700
"1.78380036",1432687500
"1.78380036",1432688400
"1.81899996",1432691100
"1.78380036",1432692000
"1.8178",1432698300
"1.8178",1432700100
"1.8009",1432701000
"1.819",1432701900
"1.8309",1432702800
"1.80150004",1432703700
"1.8309",1432705500
"1.8309",1432706400
"1.8309",1432708200
"1.8309",1432709100
"1.8309",1432710900
"1.8309",1432711800
"1.831",1432712700
"1.831",1432716300
"1.831",1432717200
"1.80240042",1432718100
"1.80240046",1432719000
"1.82240053",1432728000
"1.8499",1432728900
"1.849",1432733400
"1.8499",1432734300
"1.8499",1432735200
"1.8499",1432736100
"1.8499",1432737000
"1.84440044",1432767600
"1.84440044",1432774800
"1.84440044",1432779300
"1.84440044",1432780200
"1.84440041",1432792800
"1.84440044",1432813500
"1.84440044",1432814400
"1.84440044",1432820700
"1.84440044",1432824300
